nds,de,title
Ik will en Geschenk för mien Fründin utsöken.,Ich möchte ein Geschenk für meine Freundin aussuchen.,
Ik bün to mööd to ’n Föhren.,Ich bin zu müde zum Fahren.,
Ik föhr ook mit düssen Tog.,Ich fahre auch mit diesem Zug.,
Ik kann mi good op mien Kinnertied besinnen.,Ich erinnere mich gut an meine Kindheit.,
Dor is he bleven.,Dort blieb er.,
He keem över Sibirien na London.,Er kam über Sibirien nach London.,
Se hätt em doodslahn.,Sie hat ihn totgeschlagen.,
Tom het en gele Sportwagen.,Tom besitzt einen gelben Sportwagen.,
"Ik wees jüst bi ’t Eten, as ji mi anropen hebbt.","Ich war gerade beim Essen, als ihr mich angerufen habt.",
"Se hett ehren Hoot verloren, em aver foorts wedderfunnen.","Sie hat ihren Hut verloren, ihn aber sofort wiedergefunden.",
Lange miene Spaghettibrügg nech an! De Liem hart noch ut.,Fass meine Spaghettibrücke nicht an! Der Kleber härtet noch aus.,
Mien Snieder is rieke.,Mein Schneider ist reich.,
"Jo, ik snack Spaansche.","Ja, ich spreche Spanisch.",
Ik heff em nie singen höört.,Ich habe ihn nie singen gehört.,
Sien Tasch wees vull Water.,Seine Tasche war voller Wasser.,
He hätt en Book övers China schräven.,Er hat ein Buch über China geschrieben.,
He hett en Book över China schreven.,Er schrieb ein Buch über China.,
"Mien Büx sitt temlich lucker, ik heff veel afnahmen.","Meine Hose sitzt sehr locker, weil ich sehr abgenommen habe.",
Ik heff noch nie wat wunnen.,Ich habe noch nie etwas gewonnen.,
Wi stöört em.,Wir stören ihn.,
Wat wull he doot?,Was will er tun?,
Pandas freet Bambus.,Pandas ernähren sich von Bambus.,
Tom snackt faken mit sien Hund.,Tom spricht oft mit seinem Hund.,
"He lööp un lööp, man he kunn sien Hund nich inkriegen.","Er rannte und rannte, aber er konnte seinen Hund nicht einholen.",
Tom is Rabbi.,Tom ist Rabbi.,
De Böker liggt op ’n Disch.,Die Bücher liegen auf dem Tisch.,
Hett se den Grund seggt?,Hat sie den Grund genannt?,
"Wenn ’n för 20 Euro inköfft, fallt de Versennkösten weg.","Wenn man für 20 Euro einkauft, entfallen die Versandkosten.",
Wat schall ik antrecken?,Was soll ich anziehen?,
Woveel Böker leest du in ’n Maand?,Wie viele Bücher liest du im Monat?,
He wiggt söventig Kilo.,Er wiegt siebzig Kilo.,
Ik deed dat lever nich eten.,Ich würde das lieber nicht essen.,
Wat schull he natoeten?,Welchen Nachtisch sollte er essen?,
Datt Ruumschipp maakt Reisen von Planeet to Planeet.,Das Raumschiff unternimmt Reisen von Planet zu Planet.,
Is dat dien Süster?,Ist das deine Schwester?,
Wi mööt uns jümmer na de Regeln richten.,Wir müssen immer die Regeln befolgen.,
Hess du en Plaan?,Hast du einen Plan?,
"Ik bün trüggkamen, üm di to helpen.","Ich bin zurückgekommen, um dir zu helfen.",
"Wat fohrt harter, en Schipp oder en Tog?","Was fährt schneller, ein Schiff oder ein Zug?",
Nich maal ik!,Nicht einmal ich!,
So is datt.,So ist es.,
Datt is so.,Das ist so.,
Ik bün en goden Kock.,Ich bin ein guter Koch.,
Se togen sik an.,Sie haben sich angezogen.,
Se togen sick an.,Sie zogen sich an.,
Ik bün inslopen.,Ich bin eingeschlafen.,
George hett mien Süster heiraadt.,George hat meine Schwester geheiratet.,
He is för mi en ganz Frömmen.,Er ist ein völlig Fremder für mich.,
Ik wahn in Tokyo.,Ich wohne in Tokio.,
Elk Joht het twölv Maand.,Jedes Jahr hat zwölf Monate.,
Schullen wi danzen?,Sollen wir tanzen?,
Schullt wi danzen?,Darf ich bitten?,
In ’n Boom hätt de Blix inslahn.,In den Baum hat der Blitz eingeschlagen.,
Se hebbt jemehr Söhn John nöömt.,Sie nannten ihren Sohn John.,
Woveel Bröder gest du?,Wie viele Brüder hast du?,
Ik schnak kien Düütsch.,Ich spreche kein Deutsch.,
"Ik segg di allen, Marie!","Ich sage dir alles, Marie!",
Vonavend gaht wi in ’t Theater.,Heute Abend gehen wir ins Theater.,
Indien is 1947 von Grootbritannien unafhängig worrn.,Indien ist 1947 von Großbritannien unabhängig geworden.,
"He lett jümmer dat Finster apen, wenn he slöppt.","Er lässt immer das Fenster offen, wenn er schläft.",
He het Tom heten.,Er hieß Tom.,
He is fiev Zentimeter gröttern as ik.,Er ist fünf Zentimeter größer als ich.,
Wi lihrt schrievt.,Wir lernen schreiben.,
He schall namiddags an ’n Föfften ankamen.,Er wird nachmittags am Fünften ankommen.,
Ik heff mien Hoor nich wuschen.,Ich habe meine Haare nicht gewaschen.,
Atooms sünd för datt blote Oog nicht sichtbore.,Atome sind für das bloße Auge nicht sichtbar.,
J. F. Kennedy is op ’n Karkhoff Arlington begraven.,J.F. Kennedy wurde auf dem Friedhof Arlington begraben.,
Ehr Hoor is heel kott.,Ihr Haar ist sehr kurz.,
Dor stimmt wat nich.,Da stimmt etwas nicht.,
Dor stimmt wat ich.,Etwas ist nicht in Ordnung.,
Dor stimmt wat nich.,Es stimmt etwas nicht.,
"Ik wees neeschierig, worüm as de Lüüd mi anglupen deden.","Ich war neugierig, warum mich die Menschen anstarrten.",
Wees de Film good?,War der Film gut?,
De Film wees goods!,Der Film war gut!,
"Datt Maria loog, weet Tom.","Dass Mary log, weiß Tom.",
Dat sünd lege Tieden.,Es sind schlechte Zeiten.,
"Weeßt du, wen siene Wagen datt is?","Weißt du, wem dieser Wagen gehört?",
Ik bün al twe Stunnen dor.,Ich bin schon seit zwei Stunden da.,
Se is noch jund.,Sie ist noch jung.,
Worüm gaht wi nich na Huus?,Warum gehen wir nicht nach Hause?,
"Dat deit mi leeg, villicht toern Maal.","Es tut mir leid, vielleicht nächstes Mal.",
Woneem is de nächste Bahnhoff?,Wo ist der nächste Bahnhof?,
Disse Kiekkassen is swöör.,Dieser Fernseher ist schwer.,
Wat mak ik dann nu?,Was mache ich denn jetzt?,
Ozoon schuult uns.,Ozon schützt uns.,
Bríd hätt datt Geld.,Bríd hat das Geld.,
Hest du en Vigelien?,Hast du eine Geige?,
Ik hör datt nech.,Ich höre es nicht.,
Ik snack keene Japaanschen.,Ich spreche kein Japanisch.,
Keeneen will dor över snacken.,Niemand wollte darüber sprechen.,
Ik bün noch nien in en Fleger wäsen.,Ich bin noch nie in einem Flugzeug gewesen.,
Harrn ik datt weten!,Hätte ich das gewusst!,
Huer is diene Book.,Hier ist dein Buch.,
"He deed verspreken, nicht wedder to lat to wäsen.","Er versprach, nicht wieder zu spät zu sein.",
Se het em en Ticket kofft.,Sie hat ihm eine Fahrkarte gekauft.,
Poggen fräät Flegen.,Frösche fressen Fliegen.,
Ik heff veel von di höört.,Ich habe viel von dir gehört.,
He kenn em siet sien Kinnertied.,Er kannte ihn seit seiner Kindheit.,
Ik heff Wülf in ’e Apenninen sehen.,Ich sah Wölfe in den Apenninen.,
Talent alleen langt ich.,Talent alleine genügt nicht.,
Datt is miene Verscheel.,Das ist meine Meinung.,
Wi sünd Kusengs.,Wir sind Cousins.,
"Ik ben duun, aver ik kan noch Platt küern.","Ich bin besoffen, aber ich kann immer noch Deutsch sprechen.",
"He jabbelt jümmerto, datt he slecht behannelt warrn.","Er quengelt immer, dass er schlecht behandelt wird.",
In ’t Stadion wees ’t ganz liesen.,Das Stadion war ganz still.,
School begünnt üm halv 9.,Die Schule fängt um halb neun an.,
School begünnt üm halv 9.,Der Unterricht beginnt um acht Uhr dreißig.,
Weer still un lüüster.,Sei still und hör zu.,
Du bruukst wol en Dokter!,Du brauchst wohl einen Arzt!,
Kaam huer nien wedder her!,Komm nie wieder hierher!,
"Datt is en leed Huus, wo de Hehn luder kreiht as de Hahn.","Das ist ein trauriges Haus, wo die Henne lauter kräht als der Hahn.",
De Storm hätt sworen Schaden för de Oost brocht.,Der Sturm hat schweren Schaden für die Ernte verursacht.,
De Klock het tein slahn.,Die Uhr schlug zehn.,
Legg nech op; ik heff noch nicht snackt.,Leg nicht auf; ich habe noch nicht zu Ende gesprochen.,
"Dat intresseert de nich, wat wi wüllt.","Es interessiert die nicht, was wir wollen.",
Ik lehr.,Ich lerne.,
"Datt is nu drie Joht her, datt ik bigohn bün, Franzöösch to lihren.","Es ist drei Jahre her, seit ich angefangen habe, Französisch zu lernen.",
He is bi datt ane Radio slapen.,Er ist unter laufendem Radio eingeschlafen.,
Gau sammel sik en Hümpel Lüüd üm ’t Füüwehrauto.,Sofort sammelte sich eine Menge Leute um das Feuerwehrauto.,
Gau sammel sik en Hümpel Lüüd üm ’t Füüwehrauto.,Sofort lief eine Menschenmenge um das Feuerwehrauto zusammen.,
Ik heff tofällig mien Schoolmeester an ’n Bahnhoff drapen.,Ich traf zufällig am Bahnhof meinen Lehrer.,
So hebbt se in de Johren sösstig snackt.,So redete man in den Sechziger Jahren.,
De Blomen sünd ahn Woter verdröögt.,Die Blumen vertrockneten ohne Wasser.,
De lütt Hund keek ehr so trurig an.,Das Hündchen schaute sie so traurig an.,
He harrn goden Utsichten op Spood.,Er hat gute Aussichten auf Erfolg.,
Wo stellst du di dat Leven in’t Johr 2121 vör?,Wie stellst du dir das Leben im Jahr 2121 vor?,
De Jägers hätt ’n Voss fungen.,Der Jäger hat einen Fuchs gefangen.,
De Speelen sünd toenn.,Die Spiele sind zu Ende.,
Dröff ik rinkamen?,Darf ich reinkommen?,
Büst du mit ’n Dummbüdel kloppt?,Bist du mit dem Klammerbeutel gepudert worden?,
Mudder het den Koken in achte Delen sneden.,Mutter schnitt den Kuchen in 8 Teile.,
"Üm den Inholt uttoreken, nöhm de Längd maal de Breed maal de Deepd.",Um den Inhalt auszurechnen nimm die Länge mal der Breite mal der Tiefe.,
All Liddmaten weren dor.,Alle Mitglieder waren anwesend.,
He hett dat nich doon.,Er hat das nicht getan.,
Tom hätt datt ok ich wüßt.,Tom wusste es auch nicht.,
Maak dat lütten.,Mach es kleiner.,
Ik kenn ehr nech.,Ich kenne sie nicht.,
Se verwachten alle beid Kinners.,Sie beide erwarten Kinder.,
Dor wees en Saalhund an de Küst.,Da war ein Seehund an der Küste.,
Dor wees en Saalhund an de Küst.,Da war eine Robbe an der Küste.,
Schull ik jümmer good tomood wesen?,Sollte ich immer guter Laune sein?,
Büst du bi Facebook?,Bist du bei Facebook?,
Ik will geern boor betahlen.,Ich würde gerne bar zahlen.,
De Twete Weltkrieg wees noch nich vörbi.,Der Zweite Weltkrieg war noch nicht vorbei.,
"Tom het versöch, Rias to beindrucken.","Tom versuchte, Maria zu beeindrucken.",
Opmaal güng datt Licht ut.,Plötzlich ging das Licht aus.,
Wullst du Mary ook inladen?,Wolltest du Mary auch einladen?,
Ik will en egen Kamer.,Ich will ein eigenes Zimmer.,
Datt Ies smölt.,Das Eis schmilzt.,
Dat Ies smült.,Das Eis taut ab.,
Ik kan di nicht helpen.,Ich kann dir nicht helfen.,
Se is veel gröttern as ik.,Sie ist bei weitem größer als ich.,
Se is veele gröttern as ik.,Sie ist viel größer als ich.,
Treck di dien gode Schoh an.,Zieh dir deine guten Schuhe an!,
He mag keene Appelsienen.,Er mag keine Apfelsinen.,
He mag keene Appelsienen.,Er mag keine Orangen.,
Worüm büst du so trurig?,Warum bist du so traurig?,
He stünn mit de Hannen in ’e Tasch.,Er stand mit den Händen in seiner Tasche.,
"’Keene ich arbeiden, schall ook nech äten.","Wer nicht arbeitet, soll auch nicht essen.",
Waorüm böst du to Huus?,Warum bist du zu Hause?,
Ik heff em al anropen.,Ich habe ihn schon angerufen.,
Wi sünd domaals in de Feern fohrt.,Wir sind damals in die Ferien gefahren.,
Wi hebbt dörteihn Knüppels.,Wir haben dreizehn Knüppel.,
Datt heff ik nicht wusst.,Das wusste ich nicht.,
Flüggst du faken?,Fliegst du oft?,
Wat för en Soort Vogel is dit?,Was für eine Sorte Vogel ist das?,
"Ik harrn vör, mit de Arbeid trech to wesen.",Ich hatte vor mit der Arbeit fertig zu sein.,
Ik eet Broot.,Ich esse Brot.,
"He wees teemlich groot un mager, mit lang Arms un Been.","Er war sehr groß und mager, mit langen Armen und Beinen.",
’Keene hört datt Book to?,Wem gehört das Buch?,
Se hett veel Frünnen in Hongkong.,Sie hat viele Freunde in Hongkong.,
Wi köönt dusende Steerns an ’n Heven sehn.,Wir können Tausende von Sternen am Himmel sehen.,
Wullt du noch en Beer?,Möchtest du noch ein Bier?,
"Godd hett geven, Godd hett nahmen.","Gott hat gegeben, Gott hat genommen.",
Generaal Motors hett 76.000 Lüüd aflohnt.,General Motors hat 76000 Arbeiter entlassen.,
Ik mak toveel Tippfehlers.,Ich mache zu viele Tippfehler.,
He wees al twe Stunnen bi to lihren.,Er lernte schon seit zwei Stunden.,
He wees al twee Stünnen bi to lehren.,Er war schon zwei Stunden lang am Lernen.,
De Laag warrn jeden Dag slimmer.,Die Lage wird täglich schlimmer.,
Datt is to warm üm to arbeden.,"Es ist zu warm, um zu arbeiten.",
Ik gah avends faken mit Frünnen ut.,Ich gehe abends oft mit Freunden aus.,
"Liekut, denn na rechts, un denn?","Erst geradeaus, dann nach rechts, und dann?",
Waorüm is se so still?,Warum ist sie so still?,
Datt hätt nix mit di to doot.,Das hat nichts mit dir zu tun.,
Düsse Slips lett goods an di.,Diese Krawatte steht dir sehr gut.,
"Ik weet nich mehr, woneem ik dat köfft heff.","Ich weiß nicht mehr, wo ich das gekauft habe.",
"Ik bruuk een, mit den ik snacken kan.","Ich brauche einen, mit dem ich sprechen kann.",
"Wat wees toeerst dor, dat Hohn oder dat Ei?","Was war zuerst da, das Huhn oder das Ei?",
Ik bün en free Mann.,Ich bin ein freier Mann.,
Ries warrn in Kilo verköfft.,Reis wird in Kilo verkauft.,
"Ji weet nich, ’keen ik bün.","Ihr wisst nicht, wer ich bin.",
Wi verwachten dit Joht en tæmlich kolen Winter.,Wir erwarten dieses Jahr einen sehr kalten Winter.,
Gah weg.,Verkrümele dich!,
Wi brukt ich veele.,Wir brauchen nicht viel.,
De Aap keem dal.,Der Affe kam herunter.,
Fangt wi an.,Fangen wir an!,
Du kannst nich allen hebben.,Du kannst nicht alles haben.,
Twe Kinners sitt baven op ’n Tuun.,Zwei Kinder sitzen oben auf dem Zaun.,
Jung Tigers seht ut as Katten.,Junge Tiger sehen aus wie Katzen.,
"Tom hett versöch, Ria to beindrucken.","Tom versuchte, Maria zu beeindrucken.",
Ik heff de Adress nech dorbi.,Ich habe die Adresse nicht dabei.,
Ji hebbt datt daan!,Ihr habt es getan!,
He hett en Hoot op.,Er hat einen Hut auf.,
Se kinnt mi.,Sie kennt mich.,
Wi hebbt uns in Ägypten versteken.,Wir werden uns in Ägypten verstecken.,
He is diene Söön.,Er ist dein Sohn.,
De Bülgen slögen gegen de Steen an ’t Över.,Die Meereswellen schlagen gegen den Felsen am Ufer.,
Se wören op de Wisch un hebbt haut.,Sie waren auf der Wiese und haben geheut.,
He hett jo en Book schickt.,Er hat euch ein Buch geschickt.,
Schell twee von de Bananen.,Schäle zwei von den Bananen.,
He harrn to doot.,Er war beschäftigt.,
He harrn to doon.,Er hat zu tun.,
"Datt is licht, düsse Fraag to antern.","Es ist leicht, diese Frage zu beantworten.",
He wees ganz un gor tosmuddelt.,Er war schmutzbedeckt.,
Dat is nödig.,Es ist notwendig.,
"Ik heff vergäten, de Parkschiev intostellen.","Ich habe vergessen, die Parkscheibe einzustellen.",
"Jim keek na rechts un links, ehrdat he över de Straat güng.","Jim sah nach rechts und links, bevor er über die Straße ging.",
Ik snack keene Katalaansch.,Ich spreche kein Katalanisch.,
He hett mi lang töven laten.,Er hat mich lange warten lassen.,
Ik bün dree Johr jünger as he.,Ich bin drei Jahre jünger als er.,
"Villicht gah ik, villicht nicht.","Vielleicht werde ich gehen, vielleicht nicht.",
Dat is Tüdelkraam.,Das ist Quatsch.,
Dat is Tüdelkraam.,Das ist Unsinn.,
"Ik froog mi, wann dit huus es buet wodden.","Ich frage mich, wann dieses Haus gebaut worden ist.",
"Ik froog mi, wann dit huus es buet wodden.","Ich frage mich, wann dieses Haus gebaut wurde.",
Datt sünd ich mien Saken!,Das sind nicht meine Sachen!,
Do dor man nech so dicke mit.,Gib nicht so sehr damit an.,
"Hey, kiek, en dreeköppten Aap!","Oh, schau mal, ein dreiköpfiger Affe!",
Ik heff düssen Hoot för 2000 Yen kofft.,Ich habe diesen Hut für 2000 Yen gekauft.,
Melk kaakt bi en högere Temperatur as Woter.,Milch kocht bei einer höheren Temperatur als Wasser.,
Tom hett Ria wat toflüstert.,Tom flüsterte Maria etwas zu.,
Tom het Rias wat totuustert.,Tom hat Maria etwas zugeflüstert.,
Dit Kleed passt di good.,Dieses Kleid passt dir gut.,
We hebbt dit Johr nich veel Snee hatt.,Wir haben dieses Jahr nicht viel Schnee gehabt.,
Hett Tom en Wagen?,Hat Tom ein Auto?,
"Datt is jüst datt, wat ik bruuk.","Dies ist genau das, was ich benötige.",
Wasch di önnig de Hannen.,Wasche deine Hände gut.,
"Nüms weet, wat em so pieren deed.","Niemand weiß, was ihn so quält.",
Huer in Boston sneet datt.,Hier in Boston schneit’s.,
De König von Frankriek hett en Platt.,Der König von Frankreich hat eine Glatze.,
Laat di nich faatkriegen.,Lass dich nicht erwischen.,
Dat is mien Kuseng.,Das ist mein Cousin.,
Verwacht nich toveel von em.,Erwartet nicht zu viel von ihm.,
Ehr Fohrrad is blau.,Ihr Fahrrad ist blau.,
De Jung is klook.,Ein kluger Junge!,
Dit Maal schusst du dat sülvs doon.,Dieses Mal solltest du es selbst tun.,
Dit Maal schusst du dat sülvs doon.,Dieses Mal musst du das selbst machen.,
"Ik heff nüms, de mi helpt.","Ich habe niemanden, der mir hilft.",
Dat is mien CD.,Das ist meine CD.,
Ji künnt hier up se teuven.,Ihr könnt hier auf sie warten.,
He kan goods fohren.,Er kann gut fahren.,
Bleev en Stoot.,Bleib ein Weilchen.,
He hett mi en Klock geven.,Er gab mir eine Uhr.,
De Dener hett den Bodden schrubbt.,Der Diener schrubbte den Boden.,
Wo denkst du an?,Woran denkst du?,
"De freuhe Vugel anfangt den Worm, man eerst de twede Mûs kriggt den Kees.","Der frühe Vogel fängt den Wurm, aber erst die zweite Maus kriegt den Käse.",
Wi eet oft rauhen Fisch.,Wir essen oft rohen Fisch.,
"Moin, Grootvader!","Guten Tag, Großvater!",
"Moin, Grootvader!","Guten Morgen, Großvater!",
"Moin, Grootvader!","Guten Abend, Großvater!",
"Moin, Grootvader!",Hallo Großvater!,
Dröög diene Tranen.,Trockne deine Tränen.,
Dröög dien Tranen.,Wische dir deine Tränen ab.,
Hüdigendaags glöövt nüms mihr an Spökels.,Heutzutage glaubt niemand mehr an Gespenster.,
Wat hess du antert?,Was hast du geantwortet?,
Wat snackst du för ’n Tüdelkraam?,Was redest du für einen Unsinn?,
"De Keerl, den se heiraden will, is Rûmfohrer.","Der Mann, den sie heiraten will, ist Astronaut.",
Datt Door is nu apen.,Das Tor ist jetzt geöffnet.,
Se treckt in jemehr neet Huus.,Sie ziehen in ihr neues Haus ein.,
Se trecken in jemehr neet Huus in.,Sie ziehen in ihr neues Haus ein.,
"Se deed em verlöven, alleen to gahn.","Sie gestattete ihm, alleine zu gehen.",
Ik nöhm noch en Kreekbeer.,Ich nehme noch ein Kirschbier.,
Se süht ut as en Schoolmeestersch.,Sie sieht wie eine Lehrerin aus.,
Söchst du mi en Slips ut?,Suchst du mir eine Krawatte aus?,
Se unn em nicht in ’t Gesicht kieken.,Sie konnte ihm nicht ins Gesicht sehen.,
"Ik gläuv, dat is Tom sien Menen, dat ik toveel denk.","Ich glaube, Tom ist der Meinung, ich denke zu viel.",
