nds,de,title
Ik deed gern in Frankriek wahnen.,Ich würde gerne in Frankreich wohnen.,
Datt is kaputt.,Das ist kaputt.,
Ik kaam ut Brasilien.,Ich komme aus Brasilien.,
Datt is ich miene Bier!,Das ist nicht mein Bier!,
In ’n Harvst fallt de Bläder.,Im Herbst fallen die Blätter.,
In ’n Harvst fallt de Bläder.,Im Herbst fällt das Laub.,
Düsse Schilleree is veele Geld weert.,Dieses Gemälde ist viel Geld wert.,
De Maand geit toenn.,Der Monat geht dem Ende zu.,
Soldaten sünd Gefohr wennt.,Soldaten sind Gefahr gewohnt.,
Holl dinen Sabbel un luster to.,Halt den Mund und hör zu.,
Holl dinen Sabbel un luster to.,Halt den Mund und hör zu!,
En Dwargknienken schull nienich alleen läven.,Ein Zwergkaninchen sollte niemals allein leben.,
"Wo mihr du arbeidst, wo mihr verdeenst du.","Desto mehr du arbeitest, desto mehr verdienst du.",
Se höll de Luft an.,Sie hielt den Atem an.,
He güng na ’t Butenland.,Er ging ins Ausland.,
Wo lat is datt?,Wie spät ist es?,
Wo bedankt man sick up Japaanschen?,Wie bedankt man sich auf Japanisch?,
He jökelt jümmerto rüm.,Er macht ständig Witze.,
He jökelt jümmerto rüm.,Er scherzt immer herum.,
In ’n Krigg hebbt se veele Klocken insmulten.,Im Krieg haben sie viele Glocken eingeschmolzen.,
Tom rokt.,Tom raucht.,
"Ik will, ik harrn en Koorten för datt Konzert kofft.","Ich wünschte, ich hätte eine Karte für das Konzert gekauft.",
"Het mi een anropen, as ik buten wees?","Hat mich jemand angerufen, während ich draußen war?",
Gest du Schoh un Söcken?,Hast du Schuhe und Socken?,
Ik bün Muslim.,Ich bin Muslim.,
Ik bün Muslim.,Ich bin ein Moslem.,
Ik bün Muslim.,Ich bin Moslem.,
Beters wat as gornix.,"Besser etwas, als gar nichts.",
Se deed em en Pullover knütten.,Sie strickte ihm einen Pullover.,
Ik wees kaputt.,Ich war erschöpft.,
Ji mööt nech gliek gohn.,Ihr müsst nicht sofort gehen.,
"Briänniëdelmiddag: Schmikket guëd, aober wenn et gieden häs, mosse di henleggen, süs mosse briäken.","Brennnesseleintopf: Schmeckt gut, aber wenn du ihn gegessen hast, musst du dich hinlegen, sonst musst du brechen.",
"Ik heff em dropen, as he in Japan wees.","Ich habe ihn getroffen, als er in Japan war.",
Miene Huus is diene Huus.,Mein Haus ist dein Haus.,
Waorüm böst du to lat komen?,Warum bist du zu spät gekommen?,
Jüst datt will ik.,Genau das wollte ich.,
Ik heff ehr tofällig op ’n Bahnhoff dropen.,Ich habe sie zufällig auf dem Bahnhof getroffen.,
Ik besitt man tein Böker.,Ich besitze nur zehn Bücher.,
He deed sick gau an ’t kole Wederk wennen.,Er gewöhnte sich schnell an kaltes Wetter.,
Ik weet nix von ehr.,Ich weiß nichts von ihr.,
Ik weet nix von ehr.,Ich weiß nichts über sie.,
He verlett sick jümmerto op annere.,Er verlässt sich stets auf andere.,
Se möök datt Radio lieser.,Sie stellte das Radio leiser.,
Nancy schall wol nienich mit mi uttogahn. Ik speel nicht in ehr Liga.,Nancy wird niemals mit mir ausgehen. Ich spiele nicht in ihrer Liga.,
He wees bet op de Knaken dörnaat von ’n Regent.,Er war bis auf die Knochen durchnässt vom Regen.,
Wat hess du vonavend vüör?,Was hast du heute Abend vor?,
De Postbaad maakt den Breefkassen leddige.,Der Postbote leert den Postkasten.,
Nu is ’t hen.,Jetzt isses im Eimer.,
Japaner sünd Asiaten.,Japaner sind Asiaten.,
Ik bün uttogahn.,Ich ging aus.,
Ik bün uttogahn.,Ich bin ausgegangen.,
Fraag ich.,Frag nicht.,
"Ik will würklich giern weten, waorüm as he sowat daan hätt.","Ich möchte wirklich gerne wissen, weshalb er so etwas gemacht hat.",
Roop foorts 110.,Ruf sofort die 110.,
De eerste Deel von dit Book speelt in Florenz.,Der erste Teil dieses Buches ist in Florenz angesiedelt.,
Kiek man sturr op miene Fingers.,Bitte betrachte starr meinen Finger.,
Ik kan mi goods op em besinnst.,Ich kann mich gut an ihn erinnern.,
"Wenn use Katten 'ne Kau wör, dunn mösten we up 'n Balken taun melken!","Wenn unsere Katze eine Kuh wäre, müssten wir zum Melken hoch auf den Balken.",
"Ik begriep, wat du seggst.","Ich begreife, was du sagst.",
Datt Schipp het keene Radar.,Dieses Schiff ist nicht mit Radar ausgestattet.,
Magst du lever Wittwien odder Roodwien?,Magst du lieber Weißwein oder Rotwein?,
Denk dor nech mal an!,Denke darüber nicht einmal nach!,
De Kinners hebbt sick na de School en Pizza deelt.,Die Kinder teilten sich nach der Schule eine Pizza.,
Ik bruuk en Hamer.,Ich brauche einen Hammer.,
Miene Reekner fohrt nicht mihr hooch.,Mein Rechner fährt nicht mehr hoch.,
Kien Minske kan twehunnert Jaor liäwen.,Kein Mensch wird zweihundert Jahre alt.,
Beweeg diene Achterdeel un gah dor op dal!,Lüfte deinen Hintern und geh los!,
Beweeg diene Achterdeel un gah dor op dal!,Krieg deinen Arsch hoch und mach voran!,
Se deed blangen em sitten un harrn de Ogen slaten.,Sie saß neben ihm mit geschlossenen Augen.,
De Mudder deed datt Kind küssens.,Die Mutter küsste das Kind.,
In 2001 hebbt Terroristen datt World Trade Center vun New York angräpen.,2001 haben Terroristen das World Trade Center in New York angegriffen.,
"Wenn et löppt, denn löppt et.","Wenn es läuft, dann läuft es.",
En half Broot is beters as gornix.,Ein halber Laib Brot ist besser als gar nichts.,
Föhrst du mit ’n Buss na School?,Fährst du mit dem Bus zur Schule?,
Huer is en Book.,Hier ist ein Buch.,
Kunnst du datt Radels lösen?,Kannst du das Rätsel lösen?,
He kan sick al ich mihr op de Been hollen.,Er kann sich schon nicht mehr auf den Beinen halten.,
Wi mööt noch datt Hau kehren un Holt hacken.,Wir müssen noch das Heu wenden und Holz hacken.,
"Denkst du, datt Fischen hören köönt?","Meinst du, dass Fische hören können?",
Ik bün ut Sambia.,Ich bin aus Sambia.,
"Snacken köönt wi alle, doot is en Ding.","Handle, rede nicht.",
De Laden is op de anneren Stratensied.,Der Laden ist auf der anderen Straßenseite.,
Un waorüm datt?,Und warum das?,
Ik heff mien Autoslötel verlorene.,Ich habe meine Autoschlüssel verloren.,
Diene Portmoneet liggt op ’n Kiekschapp.,Dein Portemonnaie liegt auf dem Fernseher.,
He deed ehr von Kopp bet Foot munstern.,Er musterte sie von Kopf bis Fuß.,
"Em is datt eengaal, wat he itt.","Ihm ist es egal, was er isst.",
Düsse Soort Kledaasch is jüst Mood.,Diese Art von Kleidung ist gerade in Mode.,
Wat is mit em?,Was ist mit ihm?,
Woneem doon se datt?,Wo machen sie das?,
To ’n Glück is nüms natte worrn.,Glücklicherweise wurde niemand nass.,
Sühst du den Ingang von ’n Park?,Siehst du den Eingang von dem Park?,
Uns Feernseher geit al wedder nech.,Unser Fernseher ist schon wieder defekt.,
Du gest in ’t Swart dropen.,Du hast ins Schwarze getroffen.,
Tom keek in den Nachthimmel.,Tom sah in den Nachthimmel.,
Se hätt tæmlich kott Hoor.,Sie hat sehr kurzes Haar.,
"Wo denkst du an, wenn du dit Bild kickst?","Woran denkst du, wenn du dieses Bild betrachtest?",
Du musst nicht gliek gohn.,Du musst nicht sofort gehen.,
Dor sitt en Bayer mit en Ledderbüx.,Dort sitzt ein Bayer in einer Lederhose.,
Tom het ich soveel Frünnen as Rias.,Tom hat nicht so viele Freunde wie Maria.,
Dit is en DVD.,Das ist eine DVD.,
Vörig Nacht hebbt wi von op ’t Dack de Steerns bekeken.,Letzte Nacht haben wir die Sterne vom Dach aus angesehen.,
"Ik heff vergeten, ehr wat to vertellen.","Ich habe vergessen, ihr etwas zu sagen.",
Bet na ’n Bahnhoff is datt en goods Enn.,Bis zum Bahnhof ist es ein ganzes Stück.,
Ik heff drie Hunnen.,Ich habe drei Hunde.,
"Ik heff hört, datt du wunnen hess. Glückwunsch!","Ich habe gehört, dass du gewonnen hast. Glückwunsch!",
Ik hol Verspreken jümmerto.,Versprechen halte ich immer.,
Ik bün jünger as he.,Ich bin jünger als er.,
Se is noch nech huer.,Sie ist noch nicht hier.,
Datt wees Nacht.,Es war Nacht.,
"Ik bün in Osaka boren, man in Tokyo upwossen.","Ich wurde in Osaka geboren, bin aber in Tokyo aufgewachsen.",
Düsse Tee is to bitter.,Dieser Tee ist zu bitter.,
"Wis mi, woneem datt weh deit.","Zeig mir, wo es weh tut.",
He harrn en Unfall.,Er hatte einen Unfall.,
Ik harrn Glück.,Ich hatte Glück.,
He is miene Fründ. Kinnt ji em?,Das ist mein Freund. Kennt ihr ihn schon?,
He is miene Fründ. Kinnt ji em?,Er ist mein Freund. Kennt ihr ihn?,
Datt steiht in siene Book.,Das steht in seinem Buch.,
De Butenminister von Libyen is överlopen.,Libyens Außenminister ist übergelaufen.,
An ’n Dingsdag dröppt sick datt Parlament.,Am Dienstag tagt das Parlament.,
"Segg mi, wat du denkst.","Sag mir, was du denkst.",
Woans warrn joon Achternaams utspraken?,Wie spricht man euren Nachnamen aus?,
Jim deed sick mellen.,Jim zeigte auf.,
Ik bün nicht dumm.,Ich bin nicht dumm.,
He deed sick blangen ehr setten.,Er setzte sich neben sie.,
Ik heff de Autobahn 58 nohmen.,Ich habe die Autobahn 58 genommen.,
Hebrääsch is en swore Spraak.,Hebräisch ist eine schwere Sprache.,
"Elk Dag brukt wi veele Saken, de Edison rutfunnwn hätt.","Jeden Tag benutzen wir viele Dinge, die Edison erfunden hat.",
Du kunnst ich wiedergahn.,Du kannst nicht weitergehen.,
Bi ’t Skiföhren heff ik mi miene Been braken.,Beim Skifahren habe ich mir mein Bein gebrochen.,
Ik heff en Hund.,Ich habe einen Hund.,
Ik mag lever Selter.,Ich mag lieber Sprudel.,
Ik mag lever Selter.,Ich mag lieber Mineralwasser.,
Ik mag lever Selter.,Ich mag lieber Selters.,
"Se hebbt en Graffsteen övers datt Graff opstellt, de övers den Haven kiekt.","Sie haben einen Grabstein über dem Grab errichtet, der über den Hafen blickt.",
Wullt du mit mi dansen?,Willst du mit mir tanzen?,
"Datt is datt Book, datt du sochst.","Das ist das Buch, das du suchst.",
He seet op de Bänk in ’n Park.,Er saß auf der Bank in einem Park.,
Mak datt Fenster dicht!,Mach das Fenster zu!,
Datt is meist vörbi.,Es ist fast vorbei.,
Wi bruukt em nech.,Wir brauchen ihn nicht.,
Ik heff drie Daag nix mihr äten.,Ich habe drei Tage nichts mehr gegessen.,
Du schullst di bi em bedanken.,Du solltest dich bei ihm bedanken.,
Tom deed siene Mantel un siene Hanschen uttehn.,Tom zog seinen Mantel und seine Handschuhe aus.,
Vonavend wull ik na en Konzert gohn.,Heute Abend will ich in ein Konzert gehen.,
De Mann springen övers ’n Beek röver.,Der Mann springt über den Bach hinweg.,
"Ik weet nicht mäer, wat ik doot schall.","Ich weiß nicht mehr, was ich tun soll.",
"Se unn föhlen, wo ehr Knee beven deden.","Sie konnte fühlen, wie ihre Knie zittern.",
’Keene wullst du datt verköpen?,Wo willst du das verkaufen?,
Du bünt alltied to lat.,Du bist immer zu spät.,
"Ik weet, datt datt swoorfallt.","Ich weiß, dass das schwerfällt.",
Miene Huus liekt diene.,Mein Haus ähnelt deinem.,
"Mi dücht, datt is to groot!","Ich denke, es ist zu groß!",
Ik mag ’n Winter.,Ich mag Winter.,
Goods daan is beters as goods seggt.,Gut getan ist besser als gut gesagt.,
He drunk Bier.,Er trank Bier.,
Waorüm maakst du keene Diät?,Warum machst du keine Diät?,
He het twe Böker schräven.,Er hat zwei Bücher geschrieben.,
Ik heff nüms to’n Snacken.,Ich habe niemanden zum Reden.,
Ik roop foorts en Dokter.,Ich werde sofort einen Arzt rufen.,
Dit is miene Schrievdisch.,Dies ist mein Schreibtisch.,
Se schall mi namiddag beseuken komen.,Sie wird mich heute Nachmittag besuchen kommen.,
Marcus hätt miene Book.,Markus hat mein Buch.,
"Deit mi leeg, ik heff di lange töven loten.","Entschuldige, ich habe dich lange warten lassen.",
Speel mi en bäten Chopin.,Spiel mir ein bisschen Chopin vor.,
Vonmorgen het datt musselt.,Heute früh hat es genieselt.,
De Wind hätt önnig weiht an den Dag.,Der Wind war stark an dem Tag.,
Miene Fransch is gresige.,Mein Französisch ist lausig.,
Woneem leevst du nu?,Wo lebst du nun?,
Uns Hund kuhlt siene Knaken in ’n Goorn in.,Unser Hund vergräbt seine Knochen im Garten.,
Gest du faken Neesblöden?,Hast du oft Nasenbluten?,
"Ik unn de Klöör von siene Hemd ich kennen, datt wees dor buten to düüster.","Ich konnte die Farbe seines Hemds nicht erkennen, denn es war zu dunkel draußen.",
He sett den Buer op ’n Eddelmann.,Er setzt den Bauern auf den Edelmann.,
Ik heff düsse Nacht goods toslapen.,Ich habe diese Nacht gut geschlafen.,
Ik bün bange vüör Rulltreppen.,Ich habe Angst vor Rolltreppen.,
"Regeln sünd dor, üm braken to warrt.","Regeln sind da, um gebrochen zu werden.",
Tom het al den ganzen Dag noch nix eten.,Tom hat den ganzen Tag noch nichts gegessen.,
He is Armeeoffzeer.,Er ist Armeeoffizier.,
Ik will Philosoph warrt.,Ich wollte Philosoph werden.,
Waorüm ween datt Baby?,Warum weint das Baby?,
Datt Lihren von en Frömdspraak feddern Gedüür.,Das Erlernen einer Fremdsprache erfordert Geduld.,
He drück mi tegen de Wand.,Er drückte mich gegen die Wand.,
Tom und Rias hebbt vüör twe Weken hieradt.,Tom und Maria haben sich vor zwei Wochen verheiratet.,
Tom und Rias hebbt vüör twe Weken hieradt.,Tom und Maria haben vor zwei Wochen geheiratet.,
Diene Neeslock is veele gröttern as miene.,Dein Nasenloch ist viel größer als meines.,
Wullt du en bäten Melk?,Möchtest du etwas Milch?,
Wullt du en bäten Melk?,Willst du ein bisschen Milch?,
Datt wees en gresigen Unfall.,Das war ein schrecklicher Unfall.,
Nüms hätt düssen Satz wegdaan.,Niemand hat diesen Satz gelöscht.,
Ik will na China.,Ich wollte nach China.,
Michael het Dora datt gäven.,Michael gab das Dora.,
Se hätt de hele Nacht roort.,Sie hatte die ganze Nacht geheult.,
Sünd ji alle Kanadier?,Seid ihr alle Kanadier?,
"De Schäpers tellt siene Schaap: „Een, twe, drie, veer, fief … eenhunnerd.“","Der Schäfer zählt seine Schafe: ""Eins, zwei, drei, vier, fünf ... einhundert.""",
Datt is en Zitronenboom.,Das ist ein Zitronenbaum.,
Mi kellt de Kusen.,Ich habe Zahnschmerzen.,
En Peerd het Tom beten.,Ein Pferd hat Tom gebissen.,
"Ik will jo ja gern helpen, man ik heff jüst to doot.","Ich würde euch ja gern helfen, aber ich bin gerade beschäftigt.",
Is Freedag en Disch för twe free?,Ist am Freitag ein Tisch für zwei frei?,
Se deed uns mit en Smüüstern begröten.,Sie begrüßte uns mit einem Lächeln.,
Is nech allen Gold wat blinkt.,"Es ist nicht alles Gold, was glänzt.",
Dor wören veele Lüdd.,Da waren viele Leute.,
De Kinners speelt mit datt Speeltüüg.,Die Kinder spielen mit dem Spielzeug.,
Ik seh diene Huus.,Ich sehe dein Haus.,
He hätt miene Geldbüdel nicht stahlen.,Er hat meinen Geldbeutel nicht gestohlen.,
Woveel Ogen harrn de Zykloop?,Wie viele Augen hatte der Zyklop?,
"Ik kan Tom ich utstahn, man ik heff em ok geern.","Ich hasse Tom, aber ich liebe ihn auch.",
He döggt för de Arbeit.,Er ist für die Arbeit geeignet.,
Dunn man tau!,Los dann!,
Dann man tau!,Dann fangen wir mal an.,
Waorüm stinkt datt huer so?,Warum stinkt das hier so?,
Dit Wöörbook het twölv Bänn.,Dieses Wörterbuch hat 12 Bände.,
Sett diene Mütz op.,Setz deine Mütze auf.,
Use Dochter hätt sick den Fingers an en Rietsticken verbrennen.,Unsere Tochter hat sich den Finger an einem Streichholz verbrannt.,
Ik gah na Arbeit.,Ich gehe arbeiten.,
"Unn ja ook angahn, datt he noch in ’n Stau steiht.","Es könnte ja auch sein, dass er noch im Stau steht.",
Se lachen em ut.,Sie lachten sie aus.,
Ik gah faken mit jem fisch.,Ich gehe oft mit ihnen fischen.,
Waorüm wullt du in ’t Butenland studeren?,Wieso willst du im Ausland studieren?,
Wannehr geihst du los?,Wann gehst du los?,
Lat datt dicht.,Lass es geschlossen.,
Lat datt dicht.,Lass das zu.,
Datt is nech in Wöör uttodrücken.,Das kann man nicht in Worte fassen.,
Datt verwachten de Briten von jemehr Köningin.,Das erwarten die Briten von ihrer Königin.,
Ik seh datt nicht.,Ich sehe es nicht.,
Ik bün ich goods in Eerdkunn.,Ich bin schwach in Erdkunde.,
Ik heff jüstso veele Geld as se.,Ich habe genauso viel Geld wie sie.,
Elk Vörjohr geit de Stroom huer övers de Över.,Jeden Frühling tritt der Fluss hier über die Ufer.,
Ik hol Tom för gefährlich.,Ich halte Tom für gefährlich.,
Datt is Woter op siene Möhl.,Das ist Wasser auf seine Mühle.,
Kunnst du Klock negen vörbikamen?,Können Sie um neun vorbeikommen?,
Gägen Dörst hölpt Kööm un Bier.,Gegen Durst helfen Kümmel und Bier.,
Se leest gern.,Sie liest gerne.,
Ik heff huer wohnt.,Ich habe hier gewohnt.,
Ik weet nech wat ik doot schall.,"Ich weiß nicht, was ich tun soll.",
Waorüm büs du dunn so fuchtig?,Warum bist du denn so fuchtig?,
Smöökt he toveel Zigaretten?,Raucht er zu viele Zigaretten?,
Ken deed sick blangen mi setten.,Ken setzte sich neben mich.,
Ik heff en Holtdisch.,Ich habe einen Holztisch.,
Ik harrn giern drie von düsse.,Ich hätte gerne drei von diesen hier.,
Rachter de Kimm liggt miene tohuus.,Hinter dem Horizont liegt mein Zuhause.,
Is noch Melk dor?,Ist noch Milch da?,
De Schriever deed Wien drinkt.,Der Schreiber hat Wein getrunken.,
De Schriever deed Wien drinkt.,Der Schreiber trank Wein.,
De Sünn güng rachter de Bargen ünner.,Die Sonne ging hinter den Bergen unter.,
Ik heff so lange op de Hacken seten bet miene Been doof worrn sünd.,"Ich hab so lange auf den Fersen gesessen, bis meine Beine taub geworden sind.",
Ik bün datt Gesett!,Das Gesetz bin ich!,
De Köhers dreven en Hood Keih tohoop.,Die Viehhirten trieben eine Herde Kühe zusammen.,
Ik heff mit Münten betohlt.,Ich bezahlte mit Münzen.,
He is för Dunast an ’t Stüür bestraaft worrn.,Er wurde für Trunkenheit am Steuer bestraft.,
"Datt Baguette ut datt Pakeet nehmen un in ’n vörbött Backaven bi 200 °C so 8 bet 10 Minuten, je nadem wo bruun datt warrt schall, op de middelste Plaat trechbacken.","Das Baguette aus der Packung nehmen und im vorgeheizten Backofen bei 200°C ca. 8-10 Minuten, je nach gewünschter Bräune, auf mittlerer Schiene fertigbacken.",
"Se süng en Leeg, von datt ik den Titel nicht kenn.","Sie sang ein Lied, dessen Titel ich nicht kenne.",
Tom speelt jüst Vigelien.,Tom spielt gerade Geige.,
Segg.,Sag es.,
Linda stünn op üm to süngen.,Linda stand auf um zu singen.,
Datt wees stickendüüster.,Es war zappenduster.,
Woneem het de Imm di staken?,Wo hat die Biene dich gestochen?,
Ik kan överall toslapen.,Ich kann überall schlafen.,
Wo geit di datt so?,Wie geht es dir so?,
Du böst in Europa!,Du bist in Europa!,
Rias is mien Dochter.,Maria ist meine Tochter.,
Tom hätt al wunnen.,Tom hat bereits gewonnen.,
He was mitn Heevschruver int Krankenhuus bröcht.,Er wurde mit dem Hubschrauber ins Krankenhaus geflogen.,
Ik bün to mööd to ’n Kladdern.,Ich bin zu müde zum Klettern.,
