nds,de
Kannst du Klock negen vörbikamen?,Können Sie um neun vorbeikommen?
Gegen Döst helpt Kööm un Beer.,Gegen Durst helfen Kümmel und Bier.
Se leest geern.,Sie liest gerne.
Ik heff hier wahnt.,Ich habe hier gewohnt.
Ik weet nich wat ik doon schall.,"Ich weiß nicht, was ich tun soll."
Worüm büst du denn so fuchtig?,Warum bist du denn so fuchtig?
Smökt he toveel Zigaretten?,Raucht er zu viele Zigaretten?
Ken deed sik blangen mi setten.,Ken setzte sich neben mich.
Ik heff en Holtdisch.,Ich habe einen Holztisch.
Ik harr geern dree von disse.,Ich hätte gerne drei von diesen hier.
Achter de Kimm liggt mien tohuus.,Hinter dem Horizont liegt mein Zuhause.
Is noch Melk dor?,Ist noch Milch da?
De Schriever deed Wien drinken.,Der Schreiber hat Wein getrunken.
De Schriever deed Wien drinken.,Der Schreiber trank Wein.
De Sünn güng achter de Bargen ünner.,Die Sonne ging hinter den Bergen unter.
Ik heff so lang op de Hacken seten bet mien Been doov worrn sünd.,"Ich hab so lange auf den Fersen gesessen, bis meine Beine taub geworden sind."
Ik bün dat Gesett!,Das Gesetz bin ich!
De Köhers dreven en Hood Keih tohoop.,Die Viehhirten trieben eine Herde Kühe zusammen.
Ik heff mit Münten betahlt.,Ich bezahlte mit Münzen.
He is för Dunast an ’t Stüür bestraaft worrn.,Er wurde für Trunkenheit am Steuer bestraft.
"Dat Baguette ut dat Paket nehmen un in ’n vörbött Backaven bi 200 °C so 8 bet 10 Minuten, je nadem wo bruun dat warrn schall, op de middelste Plaat trechbacken.","Das Baguette aus der Packung nehmen und im vorgeheizten Backofen bei 200°C ca. 8-10 Minuten, je nach gewünschter Bräune, auf mittlerer Schiene fertigbacken."
"Se süng en Leed, von dat ik den Titel nich kenn.","Sie sang ein Lied, dessen Titel ich nicht kenne."
Tom speelt jüst Vigelien.,Tom spielt gerade Geige.
Segg.,Sag es.
Linda stünn op üm to singen.,Linda stand auf um zu singen.
Dat weer stickendüüster.,Es war zappenduster.
Woneem hett de Imm di staken?,Wo hat die Biene dich gestochen?
Ik kann överall slapen.,Ich kann überall schlafen.
Wo geiht di dat so?,Wie geht es dir so?
Du büst in Europa!,Du bist in Europa!
Ria is miene Dochter.,Maria ist meine Tochter.
Tom hett al wunnen.,Tom hat bereits gewonnen.
He was mitn Heevschruver int Krankenhuus brocht.,Er wurde mit dem Hubschrauber ins Krankenhaus geflogen.
Ik bün to mööd to ’n Kladdern.,Ich bin zu müde zum Klettern.
In ’n woveelten Maand büst du swanger?,Im wievielten Monat bist du schwanger?
Tom hett keen Huus.,Tom hat kein Haus.
De Aap füll von ’n Boom.,Der Affe fiel vom Baum.
Wat is mallöört?,Was ist passiert?
Wat is mallöört?,Was ist geschehen?
Woneem sünd de Duuschen?,Wo sind die Duschen?
Ik heff en Söhn un en Dochter. De een is in New York un de annere in London.,Ich habe einen Sohn und eine Tochter. Die eine ist in New York und der andere in London.
He hett em en Pullover köfft.,Er kaufte ihm einen Pullover.
Dat schall di gerüen!,Du wirst es bereuen!
Dat schall di gerüen!,Das wirst du noch bereuen!
Dat schall di gerüen!,Du wirst es noch bereuen!
Wi töövt al en halve Stünn op di.,Wir warten schon eine halbe Stunde auf dich.
Slaveree is en Verbreken gegen de Minschheid.,Sklaverei ist ein Verbrechen gegen die Menschheit.
"Dat deit mi leed. Ik nehm trügg, wat ik seggt heff.","Es tut mir leid. Ich nehme zurück, was ich gesagt habe."
De Supermarkt is apen.,Der Supermarkt ist offen.
Dat Eten weer nich so dull.,Das Essen war nicht so toll.
Dat Eten weer nich so dull.,Das Essen war nicht so doll.
Maak nu dien Huusopgaven.,Mach jetzt deine Hausaufgaben.
"Se hebbt freet, as se noch jung weren.","Sie haben geheiratet, als sie noch jung waren."
Uns Schoolmeester snackt af un to to gau.,Unser Lehrer spricht bisweilen zu schnell.
Frankriek grenzt an Spanien.,Frankreich grenzt an Spanien.
Iesen warrt in ’n Schippbo bruukt.,Eisen wird im Schiffbau verwendet.
"Ik bruuk nich to weten, ’keen us dat gäven hett.","Ich brauche nicht zu wissen, wer uns das gegeben hat."
Ik baad elk Dag.,Ich bade jeden Tag.
He maakt geern allens sülvs.,Er macht gern alles selbst.
De Diek is opdröögt.,Der Teich ist ausgetrocknet.
Dor lacht de Kraal.,Da lacht die Koralle.
Wat is Glück?,Was ist Glück?
He hett en Dochter.,Er hatte eine Tochter.
Ik gah to Foot.,Ich gehe zu Fuß.
De Platz is free.,Der Platz ist frei.
Woveel Liter Water sünd dor in ’t Swemmbad?,Wie viel Liter Wasser sind in dem Schwimmbad drin?
Tom snackt grood Russ’sch.,Tom spricht gerade Russisch.
Roodhoorte Lüüd hebbt faken Sünnsprütten.,Rothaarige Menschen haben häufig Sommersprossen.
Dat is aver en lütte Arvt!,Das ist aber eine kleine Erbse!
"Se seed uns, dat de Straat sperrt is.","Sie sagte uns, die Straße sei gesperrt."
Ik heff di nich verstahn.,Ich habe dich nicht verstanden.
Dat Huus mit dat gröne Dack höört mi to.,Das Haus mit dem grünen Dach gehört mir.
Ik wull ehr geern drapen.,Ich würde sie gerne treffen.
Opstunns bün ik en beten knapp bi Kass.,Im Moment bin ich ein bisschen knapp bei Kasse.
Se harr en Radio.,Sie hatte ein Radio.
"Ik wohrschau di, gah dor nich hen.","Ich warne dich, geh nicht hin."
He smirkst mit de Tung.,Er schnalzt mit der Zunge.
Hest du ehr jüst eerst kennenlehrt?,Hast du sie gerade erst kennengelernt?
Woneem is he?,Wo ist er?
Hett se en Süster?,Hat sie eine Schwester?
Mi doot jümmer de Been weh.,Mir tun ständig die Beine weh.
Wi drinkt uns Tee mit Sucker.,Wir trinken unseren Tee mit Zucker.
Se hett mi opmaal en Kuss geven.,Sie hat mir auf einmal einen Kuss gegeben.
Woneem kann ik telefoneren?,Wo kann ich hier telefonieren?
Sünd al twee Weken vörbi un ik heff di nich sehn.,Ich habe dich schon seit zwei Wochen nicht mehr gesehen.
De Klock geiht teihn Minuten na.,Die Uhr geht zehn Minuten nach.
Kann ik di binnen twintig Minuten wedder anropen?,Kann ich dich in den nächsten zwanzig Minuten zurückrufen?
Snackt ji över de Arbeid?,Sprecht ihr über die Arbeit?
Dit is de eerste Kehr.,Das ist das erste Mal.
Ik heff al lang nich mehr smöökt.,Ich habe schon lange nicht mehr geraucht.
Dat is keen Graffiti; dat is Banksy!,Es ist kein Graffiti; es ist Banksy!
He is mit Afsicht op mien Foot peddt.,Er trat absichtlich auf meinen Fuß.
Dor kenn ik mi nich ut.,Da kenne ich mich nicht aus.
"De Insel in Japan, de opwiedst in ’n Süden is, is Okinawa.",Die südlichste Insel Japans ist Okinawa.
Hebbt ji den Time-Artikel över Asien leest?,Habt ihr den Time-Artikel über Asien gelesen?
Wo hest du dat denn her?,Wo hast du das denn her?
Sett di doch op den Stohl.,Setz dich doch auf den Stuhl.
Dat köst för di 2000 Peseten.,Das kostet für dich 2.000 Peseten.
"Wat mit us is, geiht de doch an’n Oors vörbi.","Was mit uns ist, geht denen doch am Arsch vorbei."
"„Moin, Tom!“ – „Moin, Ria!“","„Hallo, Tom!“ – „Hallo, Maria!“"
"Wenn ik groot bün, will ik en König wesen.","Wenn ich groß bin, will ich ein König sein."
He singt geern in de Baadwann.,Er singt gerne in der Badewanne.
Tom wusch de Pötte un Pannen.,Tom wusch die Töpfe und Pfannen.
Wat hett se di totuustert?,Was hat sie dir zugeflüstert?
Süst du de Lüüd in ’n Park?,Siehst du die Leute im Park?
"Dat is en lichter, en Klock uteneentoboon as ehr wedder tohooptosetten.","Es ist leichter, eine Uhr auseinanderzunehmen, als sie wieder zusammenzusetzen."
Holl dien Ogen apen.,Halt deine Augen offen.
Mien grote Süster hett Hoor bet na ehr Schullern.,Meine große Schwester hat schulterlanges Haar.
Mary is groot.,Maria ist groß.
"Se schell em ut, dat he to laat weer.","Sie schimpfte ihn aus, weil er zu spät war."
Ik heff Water in ’n Ammel füllt.,Ich habe Wasser in den Eimer gefüllt.
Arbeidt Tom un Ria noch?,Arbeiten Tom und Maria noch?
"Chiro mag kene Litschis, he is en Kater.","Chiro mag keine Litschis, da er ein Kater ist."
"Ik weet, dat du weetst, dat ik dat weet.","Ich weiß, dass du weißt, dass ich das weiß."
Wi mœt us Huus verköpen.,Wir müssen unser Haus verkaufen.
Moin Mimi! Wo geiht di dat?,Hallo Mimi! Wie geht es?
Dit Book hannelt von Steerns.,Dieses Buch handelt von Sternen.
Ik kann nich na dat böverste Fack recken.,Ich kann das oberste Fach nicht erreichen.
Ik bün elk Avend tohuus.,Ich bin jeden Abend zu Hause.
Dröff ik den Stoffsuger bruken?,Darf ich den Staubsauger benutzen?
Se bröch de Kinner na Bedd.,Sie brachte die Kinder ins Bett.
"Poppeer is witt, Kohlenstoff is swart.","Papier ist weiß, Kohlenstaub ist schwarz."
"He kann nich kamen, he is krank.","Er kann nicht kommen, er ist krank."
Disse Schoh sünd to düür.,Diese Schuhe sind zu teuer.
De Mann snack mit en depe Stimm.,Der Mann sprach mit einer tiefen Stimme.
"Ik heff höört, dat du ook Breevmarken sammelst.","Ich habe gehört, dass du auch Briefmarken sammelst."
Disse Bruuk stammt ut de Edo-Tied.,Dieser Brauch stammt aus der Edo-Zeit.
Ik drink nich veel Wien.,Ich trinke nicht viel Wein.
Sien Weid is 20 Quadratmielen groot.,Seine Weide erstreckt sich über 20 Quadratmeilen.
Worüm studeerst du Franzöösch?,Warum studierst du Französisch?
"Wi hebbt dat nich henkregen, wat över Oma un Opa ruttokriegen.","Es ist uns nicht gelungen, etwas über Oma und Opa herauszufinden."
De Fraag deed em verbasen.,Die Frage erstaunte ihn.
"Ik bün dat nich wennt, so behannelt to warrn.",Ich bin eine solche Behandlung nicht gewohnt.
Vonavend gaht wi tibeetsch eten.,Heute Abend gehen wir tibetisch essen.
Russland is de gröttste Staat op de Welt un de Vatikaan is de lüttste Staat op de Welt.,Russland ist der größte Staat der Welt und der Vatikan ist der kleinste Staat der Welt.
Dat weer en lange Nacht.,Es war eine lange Nacht.
Ik mag Schokoladenies!,Ich mag Schokoladeneis!
Ik mag Schokoladenies!,Ich mag Schokoladeneis.
In ’n Pries sünd de Stüürn nich mit in.,Der Preis enthält keine Steuern.
Dit Land is mien Egendom.,Dieses Land ist mein Eigentum.
Drinkst du Alkohool?,Trinkst du Alkohol?
Kau dien Eten good un denn sluck dat dal.,Kaue dein Essen gut und dann schlucke es hinunter.
Wat maakt ji dor?,Was macht ihr da?
Dat is en temlich gode Idee.,Das ist eine sehr gute Idee.
"Wat schall ik doon, wenn se starvt?","Was soll ich tun, wenn sie stirbt?"
He deed wiedersnacken.,Er sprach weiter.
Was he al jümmer so?,War er schon immer so?
Dat Handook is in ’t Bad.,Das Handtuch ist im Bad.
Sien Reed hett dree Stünnen duurt.,Seine Rede dauerte drei Stunden.
Sien Reed hett dree Stünnen duurt.,Seine Rede hat drei Stunden gedauert.
Maria hett sik wat to eten köfft.,Maria hat sich etwas zu essen gekauft.
He kann nich Gitarr spelen.,Er kann nicht Gitarre spielen.
De Tweeschen keken na ’t Baby.,Die Zwillinge schauten nach dem Baby.
Dit Johr hett dat veel regent.,Dieses Jahr regnete es viel.
"Du schusst wat eten, ehr du geihst.","Du solltest etwas essen, bevor du gehst."
Sluut dat Door dicht.,Mach die Türe zu.
"As ik de Vörhäng apen maken deed, snee dat.","Als ich die Vorhänge öffnete, schneite es."
"Wat wünscht du di to Wiehnachten, Jenny?","Was wünschst du dir zu Weihnachten, Jenny?"
Ik heff em sehn.,Ich habe ihn gesehen.
Dat is to sien Vördeel.,Es ist zu seinem Vorteil.
"Ik heff jüst en Book leest, as he rinkeem.","Ich las gerade ein Buch, als er eintrat."
Dat is verbaden bi de Arbeid to smöken.,"Es ist verboten, während der Arbeit zu rauchen."
Anter op de Fraag.,Antworte auf die Frage.
Se hett em dat Geld geven.,Sie hat ihm das Geld gegeben.
Tom is na de Arbeit gliek na Huus föhrt.,Tom fuhr nach der Arbeit gleich nach Hause.
Se proovt den Ries.,Sie probieren den Reis.
"Ik heff en Fründ, de in London wahnt.","Ich habe einen Freund, der in London wohnt."
"Ik bün nich bang to seggen, wat ik denk.","Ich bin nicht bang zu sagen, was ich denke."
"Tom dee, wat he mi verspraken harr.","Tom tat, was er mir versprochen hatte."
De Ass an ’n Ackerwagen weer braken.,Die Achse an dem Ackerwagen war gebrochen.
"Is dat dat, wat du wullt?","Ist es das, was du wolltest?"
He verdeent twintig Dollar an ’n Dag.,Er verdient zwanzig Dollar pro Tag.
He verdeent twintig Dollar an ’n Dag.,Er verdient zwanzig Dollar am Tag.
"Stimmt dat, dat Eerdfarken Miegremen freet?","Stimmt es, dass Erdferkel Ameisen fressen?"
Dat hest du verdeent.,Das hast du verdient.
Ik bruuk faken SSH üm von annerwegens op mien Reekner roptokamen.,"Oft benutze ich SSH, um von anderswo auf meinen Computer zuzugreifen."
Wat för en Huus gefallt di beter?,Welches Haus gefällt Ihnen mehr?
Goden Avend. Wo geiht di dat?,Guten Abend. Wie geht es dir?
Is dat de Bus na Oxford?,Ist das der Bus nach Oxford?
Een Schluck künnt wi noch.,Einen Schluck können wir noch.
Ik mag geern Krintenstuten eten.,Ich esse gerne Rosinenstuten.
De Schmitt iss ´n wunnerbor Vigelienstrieker.,Herr Smith ist ein hervorragender Geiger.
Laat uns en Kaffepaus maken.,Lass uns eine Kaffeepause machen.
Dat Neeshoorn is temlich groot.,Das Nashorn ist sehr groß.
Wo heet mien Dokter?,Wie heisst mein Doktor?
In dat Graff leed al en Liek.,In dem Grab lag schon eine Leiche.
He snackt teihn Spraken.,Er spricht zehn Sprachen.
De Dichter schrifft veel Dichtels.,Der Dichter schrieb viele Gedichte.
Ik bün Börger von de USA.,Ich bin ein US-Bürger.
"Se harr en Hoot op, de roor utsehn deed.","Sie trägt einen Hut, der komisch aussieht."
Ik snack nich geern vör Lüüd.,Ich spreche nicht gerne vor Menschen.
De Rosen in ’n Goorn reekt good.,Die Rosen im Garten riechen gut.
Dat is to düür!,Das ist zu teuer!
Dat is to düür.,Das ist zu teuer.
Küsst mi.,Küsst mich.
Amerikaners seggt dor Vietnam-Krieg to; de Vietnamesen seggt dor Amerikaansch Krieg to.,Die Amerikaner sagen Vietnam-Krieg dazu; die Vietnamesen sagen dazu Amerikanischer Krieg.
"Wenn du Berliners magst, denn magst du wohrschienlich ook Amerikaners, de sünd jüstso sööt.","Wenn du Berliner magst, dann magst du wahrscheinlich auch Amerikaner, die sind genauso süß."
Gah nich över de Straat!,Überquere nicht die Straße.
Dat begünnt nich vör half negen.,Das fängt nicht vor halb neun an.
Wat för een is dien Gitarr?,Welche ist deine Gitarre?
Tell bet dörtig.,Zähl bis dreißig.
Wi hebbt dor en goden Pries för kregen.,Wir haben einen guten Preis dafür bekommen.
Dien Stift is beter as mien.,Dein Stift ist besser als meiner.
Siene Tähn föhlen sik ganz stuuv an.,Seine Zähne fühlen sich ganz stumpf an.
Wi kennt em.,Wir kennen ihn.
Ik heff veel to doon.,Ich habe viel zu tun.
Wi kennt uns noch nich lang.,Wir kennen uns noch nicht lange.
"In de teihn Johr na ’n letzten Zensus is de Inwahnertall üm 7,15% daalt.","In den zehn Jahren nach der letzten Zählung ist die Einwohnerzahl um 7,15 % geschrumpft."
Du süst ja so tatergeel ut in ’t Gesicht!? Geiht di dat nich good?,Du siehst ja so unheimlich gelb im Gesicht aus! Geht es dir nicht gut?
Du kannst hier nich eten.,Du kannst hier nicht essen.
Tom hett den Text in’t Fransche översett.,Tom hat den Text ins Französische übersetzt.
He töövt op mien Anroop.,Er erwartet einen Anruf.
Dat Fleesch is good braden.,Das Fleisch ist gut gebraten.
De Köningin schall tokamen Johr in China to Besöök wesen.,Die Königin wird nächstes Jahr in China zu Besuch sein.
Caesar oder nix.,Entweder Caesar oder nichts.
"Uns Huus hett söven Kamern, de Stuuv mittellt.","Unser Haus hat sieben Zimmer, das Wohnzimmer eingeschlossen."
Ik heff keen Katt.,Ich habe keine Katze.
He leevt op ’n Topp von dissen Barg.,Er lebt oben auf diesem Berg.
Ik heff een schreen höört.,Ich habe jemanden schreien gehört.
Se is in ’n achten Maand swanger.,Sie ist im achten Monat schwanger.
Gah doch na ’n Dokter!,Geh doch zum Arzt!
Du büst en goden Fründ.,Du bist ein guter Freund.
Schree nich so veel!,Schrei nicht so viel!
Is dat sworer to vergeven oder to vergeten?,Ist es schwieriger zu verzeihen oder zu vergessen?
Disse Appel is önnig rood.,Dieser Apfel ist ziemlich rot.
"Wenn du dien Plicht nich deist, denn doot de Lüüd op di rafkieken.","Wenn du deine Pflicht nicht tust, werden die Leute auf dich herabschauen."
Narr!,Narr!
De Jung köfft en Hund.,Der Junge kauft einen Hund.
Ik bün trech mit Blomengeten.,Ich bin fertig mit Blumengießen.
De Mann hett den ganzen Dag lang slapen.,Der Mann hat den ganzen Tag lang geschlafen.
Wat is dat för en Ding?,Was ist das für ein Ding?
Kaam mit dien Oors ut ’e Puuschen!,Setz deinen Arsch in Bewegung!
"Ik heff allens, wat ik will.","Ich habe alles, was ich will."
Miene Kamera is waterdicht.,Meine Kamera ist wasserfest.
Du hest en beten Ketchup op dien Slips kleckert.,Du hast ein bisschen Ketchup auf deinen Schlips gekleckert.
Se keek an ’e Deek.,Sie schaute an die Decke.
Dissen Film harr ik geern sehn.,Diesen Film hätte ich gerne gesehen.
Enkelt- oder Dubbeltkamer?,Einzel- oder Doppelzimmer?
De Kark is op de anner Stratensied.,Die Kirche ist auf der anderen Straßenseite.
Se schellt Kartuffeln.,Sie schält Kartoffeln.
He stööt mit ’n Dööts gegen de Deek.,Er stieß mit dem Kopf gegen die Decke.
Se is minner plietsch as du.,Sie ist weniger intelligent als du.
De USA grenzt in ’n Noorden an Kanada.,Die USA grenzen im Norden an Kanada.
Wees bedankt för dat Verbetern.,Danke für die Korrektur.
"Ik warr allens doon, üm jo to gefallen.","Ich werde alles tun, um euch zu gefallen."
"’Keen krüppt, kann nich strumpeln!","Wer kriecht, kann nicht stolpern!"
Alltohoop weren dat teihn Eier.,Zusammen waren es zehn Eier.
Magst du swarte Katten?,Magst du schwarze Katzen?
He snackt gau.,Er redet schnell.
Dat Pidgin hett kene Modersprekers.,Das Pidgin hat keine Muttersprachler.
Dor is noog Eten för all dor.,Es ist genug Essen für alle da.
Dat is tohoop Tüdelkraam!,Das ist völliger Quatsch!
"Ik heff di dull misst, as du in Frankriek weerst.","Ich habe dich sehr vermisst, als du in Frankreich warst."
De Straat is vonwegen en Unfall sperrt.,Die Straße ist aufgrund eines Unfalls gesperrt.
"Ik verstah nich, wat de Autor dor mit seggen will.","Ich verstehe nicht, was der Autor damit sagen will."
"Se hett so daan, as wenn se nix weet.",Sie hat so getan als wüsste sie nichts.
Ik weer von de Arbeid kumplett kaputt.,Ich war von der Arbeit total erschöpft.
Ik schenk ehr dat.,Ich schenke es ihr.
Se itt jüst Middag.,Sie isst gerade zu Mittag.
Ik bün jümmer noch dörstig.,Ich bin immer noch durstig.
De Atoombumm is en grote Gefohr för de Minschheid.,Die Atombombe ist eine große Gefahr für die Menschheit.
Ik will dor nich över kören.,Ich will nicht darüber sprechen.
"Segg mi, worüm as se weent.","Sag mir, warum sie weint."
"Segg mi, worüm as se weent.","Sage mir, warum sie weint."
He kreeg mi bi ’n Kanthaak.,Er packte mich am Kragen.
Kiek di maal dit Bild an.,Schau dir mal dieses Bild an.
